UID,Name,Score,usecMemTest,usecOpcodes,usecVidMem,usecMemEA,usec3DGames,CPU,MHz,BIOS Info,BIOS Date,BIOS CRC16,Video Subsystem,Video Adapter,Description,Submitter
UID7F5C71D,"IBM PCjr",2,5926,3584,3373,4392,3490,Intel 8088,4.77,"COPR. IBM 1981,1983 (06/01/83, rev. 86)",19830601,7F5C,CGA,"IBM PCjr","Stock, 128KB RAM.  This score is accurate -- it is slower because the first 128KB of PCjr RAM is also display RAM and has an additional wait state.","trixter@oldskool.org"
UID7481915,"Data General One Model 2",4,4445,2139,2810,2383,2261,Intel 80C88,4,"Copyright (c) 1985 Bitstream Inc",20000101,7481,CGA,"CGA","Data General One Model 2","Carlsson (VCF)"
UID85086477,"Tandy 1000 (no DMA)",4,4232,2103,2236,2375,2152,Intel 8088,4.77,"unknown",19850305,8508,CGA,"Tandy 1000","128KB Tandy 1000 without DMA"," "
UID50471A772,"XT Clone (Zenith Z-159 @4.77MHz)",4,3887,1842,2743,2049,1924,Intel 8088-2,4.77,"Copyright (C) 1986, by Zenith Data Systems (",20000101,5047,EGA,"Paradise PEGA 1A","A British Telecom rebadge of a Z-159 in normal mode running DOS 3.20","brassicGamer (VCF)"
UID3B854EA,"IBM PC 5150",4,3771,1744,3121,1930,1846,Intel 8088,4.77,"COPR. IBM 1982 (10/27/82, rev. 0)",19821027,3B85,EGA,"EGA"," ","Great Hierophant"
UID502949C,"IBM PC 5150",4,3778,1753,3079,1935,1848,Intel 8088,4.77,"COPR. IBM 1986 (05/09/86, rev. 2)",19820509,5029,EGA,"EGA (Mono)"," ","Great Hierophant"
UID907DC3A6E,"Panasonic Business Partner FX-600",4,3800,1847,2640,2085,1967,Intel 8086,4.77,"Copyright Matsushita Electric Industrial Co.,Ltd. 1985, 1986",20000000,907D,CGA,"CGA"," ","Dos lives on!! from VCF"
UID8BFF2309C,"Philips P3105",4,3813,1772,2649,1958,1868,Intel 8088,4.77,"unknown",19871021,8BFF,CGA,"ATi Small Wonder V1"," "," "
UID3B854AB,"IBM PC 5150",4,3771,1744,2744,1930,1846,Intel 8088,4.77,"COPR. IBM 1982 (10/27/82, rev. 0)",19821027,3B85,VGA,"VGA, unknown Chipset, 256kb Video Memory (BIOS)"," ","Great Hierophant"
UIDCB6B24E4,"IBM PC 5155 (Portable Personal Computer 5155 Model 68)",4,3784,1754,2684,1935,1865,Intel 8088,4.77,"1501512 COPR. IBM 1981 (11/08/82, rev. 0)",19821108,CB6B,CGA,"CGA","Stock other than a memory expansion card. Also known as the IBM Luggable PC.","Ben in Seattle"
UIDF075F0E6E,"IBM PC/XT",4,3773,1769,2678,1935,1851,Intel 8088,4.77,"COPR. IBM 1986 (05/09/86, rev. 2)",19860509,F075,CGA,"CGA","my old IBM/XT. With kind regards from Hamburg Germany Marc-Tell Volkmann volkmann@it-volkmann.de","Marc-Tell Volkmann"
UID9485166A30,"IBM PC/XT (enhanced)",4,3774,1753,2652,1935,1851,Intel 8088,4.77,"COPR. IBM 1986 (01/10/86, rev. 1)",19860110,9485,CGA,"CGA"," ","trixter@oldskool.org"
UID3B8536B,"IBM PC 5150",4,3774,1753,2648,1935,1851,Intel 8088,4.77,"COPR. IBM 1982 (10/27/82, rev. 0)",19821027,3B85,CGA,"CGA"," ","Great Hierophant"
UIDE3A2D9D,"Compaq Portable",4,3690,1748,2628,1933,1854,Intel 8088,4.77,"(C) Copyright COMPAQ Computer Corporation, 1983, All rights reserved.",20000101,E3A2,CGA,"Compaq CGA","Compaq Portable XT","resman"
UID790584A,"Zenith data systems ZFA-161-52",4,3780,1758,2489,1940,1853,Intel 8088,4.77,"Copyright (C) 1986, by Zenith Data Systems",20000101,7905,CGA,"CGA","Luggable 8088 in the same vein as the IBM 5155 and Compaq Portable.  ZFA-161-52 came with two 5.25-inch drives and 320K RAM.","trixter@oldskool.org"
UID4130B24F,"Superwave PC/XT clone",4,3784,1754,2489,1935,1856,Intel 8088,4.77,"8088 BIOS (C)1987 AMI, for SUPERWAVE ELECTRONIC CO., LTD. (05/06/87, rev. 0)",19870506,4130,MDA,"Hercules"," ","trixter@oldskool.org"
